latitude,longitude,timestamp,magnitude
62.2068,-153.4684,7/27/2016 20:31,1.4
-30.3675,-71.6354,7/27/2016 20:34,4.3
64.2608,-149.8759,7/27/2016 20:34,0.6
-4.8885,153.7064,7/27/2016 20:34,4.3
33.9611667,-116.9105,7/27/2016 20:35,0.62
-25.9135,178.4949,7/27/2016 20:36,4.4
37.1026667,-121.154,7/27/2016 20:40,0.68
50.7456,174.994,7/27/2016 21:03,3.1
59.8913,-152.2587,7/27/2016 21:06,1.2
60.4989,-150.7259,7/27/2016 21:07,1.5
33.6505,-116.7821667,7/27/2016 21:10,0.74
38.8168333,-122.817,7/27/2016 21:11,0.23
38.6668,-118.7643,7/27/2016 21:20,0.4
60.1265,-140.9892,7/27/2016 21:23,1.6
37.0341667,-121.1968333,7/27/2016 21:34,0.49
19.2946667,-155.0171667,7/27/2016 21:39,1.76
61.2486,-139.3301,7/27/2016 21:40,1.3
18.9834,-66.7925,7/27/2016 21:41,2.8
61.2297,-139.2366,7/27/2016 21:42,3.7
37.555,-118.9075,7/27/2016 21:58,0.99
33.9906667,-117.2443333,7/27/2016 21:58,1.25
33.6855,-116.6713333,7/27/2016 22:02,0.71
64.8504,-149.0505,7/27/2016 22:05,0.2
38.2658,-118.7435,7/27/2016 22:06,1.7
59.9332,-151.6507,7/27/2016 22:07,1.2
51.1638,-179.1618,7/27/2016 22:07,1.9
59.7084,-153.2323,7/27/2016 22:14,1.7
33.5145,-116.4226667,7/27/2016 22:19,1.74
48.8751667,-112.1306667,7/27/2016 22:20,2.02
53.2254,-165.8291,7/27/2016 22:23,1.8
38.7796669,-122.7241669,7/27/2016 22:24,0.58
58.5396,-136.9227,7/27/2016 22:26,1.9
62.3426,-150.9251,7/27/2016 22:39,1.6
52.8095,-166.7744,7/27/2016 22:49,2.1
37.5061667,-119.0055,7/27/2016 22:52,0.57
33.5196667,-116.5213333,7/27/2016 23:01,0.42
58.6771,-152.8279,7/27/2016 23:19,1.5
37.4176,-117.0073,7/27/2016 23:22,0.2
51.4712,178.8021,7/27/2016 23:26,1.8
35.6923,-115.1236,7/27/2016 23:30,1.4
35.3395,-118.006,7/27/2016 23:39,1.13
37.033,-121.1961667,7/27/2016 23:40,0.5
46.9391667,-121.9333333,7/27/2016 23:41,0.24
33.5131667,-116.522,7/27/2016 23:43,0.65
38.7965012,-122.7946701,7/27/2016 23:43,0.91
33.2523333,-116.4063333,7/27/2016 23:44,0.93
38.7944984,-122.7990036,7/27/2016 23:44,0.94
19.612,-155.2628333,7/27/2016 23:46,1.54
62.9088,-151.0824,7/27/2016 23:50,1.4
38.8226662,-122.7796631,7/27/2016 23:57,0.92
61.0653,-154.1183,7/27/2016 23:59,0.8
57.7013,-155.5783,7/28/2016 0:00,1.7
19.2019997,-155.4136658,7/28/2016 0:02,2.12
37.6411667,-118.9305,7/28/2016 0:16,0.35
63.4517,-147.824,7/28/2016 0:21,1.1
41.8584,-119.6533,7/28/2016 0:21,1.1
37.471,-113.9345,7/28/2016 0:23,0.9
33.7345,-115.9526667,7/28/2016 0:26,0.84
41.8477,-119.658,7/28/2016 0:36,2.1
64.3928,-146.6322,7/28/2016 0:42,0.4
61.2858,-151.6304,7/28/2016 0:44,1.6
36.5923333,-121.1303333,7/28/2016 1:00,1.13
19.0373,-64.3435,7/28/2016 1:03,2.1
35.5948333,-120.8835,7/28/2016 1:17,1.18
64.3436,-150.7385,7/28/2016 1:24,1.6
37.4793333,-118.9851667,7/28/2016 1:27,1.2
60.3553,-147.7705,7/28/2016 1:30,1.7
40.0425,-121.3488333,7/28/2016 1:45,1.85
33.5101667,-116.5275,7/28/2016 1:46,2.05
63.7026,-149.6378,7/28/2016 1:48,1.1
33.5173333,-116.5158333,7/28/2016 1:52,0.35
59.7964,-153.0051,7/28/2016 1:55,1.9
33.038,-116.3626667,7/28/2016 1:56,1.16
41.8456,-119.6456,7/28/2016 1:57,1.1
52.684,-169.1817,7/28/2016 2:01,1.7
42.9566,40.8998,7/28/2016 2:05,4.2
33.4871667,-116.9063333,7/28/2016 2:09,1.23
38.8190002,-122.7898331,7/28/2016 2:12,1.02
18.3605,-65.022,7/28/2016 2:13,2.2
38.819,-122.7911667,7/28/2016 2:22,1.36
63.1628,-148.782,7/28/2016 2:33,0.5
46.8546667,-121.7503333,7/28/2016 2:43,1.1
38.6791667,-119.8236667,7/28/2016 2:50,2.56
17.892,-66.7545,7/28/2016 2:59,1.5
19.0774,-64.355,7/28/2016 3:04,2.4
38.8400002,-122.8273315,7/28/2016 3:05,0.87
37.6208333,-118.8428333,7/28/2016 3:09,0.47
18.9195,-63.7612,7/28/2016 3:12,2.1
36.026,-117.7673333,7/28/2016 3:14,0.7
60.3183,-147.7357,7/28/2016 3:28,1.4
65.1005,-150.1644,7/28/2016 3:34,0.4
44.7338333,-111.7683333,7/28/2016 3:37,0.85
61.9854,-148.3597,7/28/2016 3:37,1.1
51.5273,178.3063,7/28/2016 3:41,2.1
38.6982,-119.8061,7/28/2016 3:50,1
63.2754,-150.4978,7/28/2016 4:14,1.3
37.6216667,-118.8856667,7/28/2016 4:14,0.25
44.5528333,-114.5161667,7/28/2016 4:33,1.4
63.0633,-151.494,7/28/2016 4:34,1.2
33.5853333,-117.151,7/28/2016 4:38,0.35
